"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Gerardo Parra","Rockies","74","299","279","78","18","1","7","32","37","15","53","2","4","2","",".280",".319",".431",".750",".320","","80","-0.7","0.8","","-8.5","-3.8","-0.3","","357.6","8553"
"Raimel Tapia","Rockies","41","176","164","48","9","2","2","21","17","8","29","1","6","3","",".295",".330",".417",".747",".320","","79","0.1","-0.6","","-4.6","-2.9","-0.2","","388.5","14350"
"Hyun Soo Kim","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".265",".340",".396",".736",".320","","96","0.0","0.0","","0.0","0.0","0.0","","715.0","18718"
"Christin Stewart","Tigers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".310",".439",".749",".320","","96","0.0","0.0","","0.0","0.0","0.0","","648.1","sa858826"
"Jordan Patterson","Rockies","10","40","36","9","2","0","1","4","5","3","11","1","0","0","",".258",".316",".433",".749",".320","","79","0.0","0.0","","-1.1","-0.6","0.0","","999.0","15119"
"Brandon Moss","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".303",".450",".753",".320","","96","0.0","0.0","","0.0","0.0","0.0","","638.2","4467"
"Yadiel Hernandez","Nationals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".267",".335",".404",".738",".319","","93","0.0","0.0","","0.0","0.0","0.0","","999.0","sa724030"
"Clint Frazier","Yankees","31","123","110","27","5","1","5","15","16","10","32","1","2","1","",".247",".312",".438",".750",".319","","97","0.0","-0.5","","-0.5","-2.8","0.1","","509.8","15983"
"Albert Almora Jr.","Cubs","102","406","377","105","22","2","11","44","49","21","63","2","4","2","",".278",".318",".430",".748",".319","","93","-0.6","1.1","","-4.3","2.8","1.2","","380.0","14109"
"Chris Taylor","Dodgers","138","610","545","143","31","4","13","76","57","52","139","4","16","8","",".262",".328",".408",".736",".318","","97","1.5","-0.8","","-0.5","1.7","2.1","","93.6","13757"
"Jayson Werth","","45","194","169","40","8","1","6","23","21","22","48","2","2","1","",".239",".329",".404",".734",".318","","95","0.0","-2.7","","-1.2","-5.0","0.0","","694.4","1327"
"Alex Dickerson","Padres","10","40","36","9","2","0","1","4","5","3","8","0","0","0","",".260",".322",".425",".747",".318","","98","0.0","-0.3","","-0.2","-0.8","0.0","","629.2","12649"
"Jordan Luplow","Pirates","11","47","42","11","2","0","2","5","6","4","9","1","1","0","",".254",".321",".422",".744",".318","","95","0.0","-0.2","","-0.3","-0.7","0.0","","674.0","16424"
"Andre Ethier","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".255",".329",".411",".740",".318","","95","0.0","0.0","","0.0","0.0","0.0","","999.0","6265"
"Tyler Naquin","Indians","15","57","51","13","3","0","1","7","7","5","15","0","1","1","",".261",".327",".411",".738",".317","","94","0.0","-0.1","","-0.4","-0.8","0.1","","687.5","13359"
"Nick Markakis","Braves","136","566","498","134","27","1","10","58","59","57","90","5","2","1","",".269",".347",".387",".734",".317","","93","-1.2","-2.8","","-6.2","-9.6","0.2","","438.7","5930"
"Lewis Brinson","Marlins","98","392","353","91","18","3","12","42","45","29","87","4","10","6","",".256",".317",".428",".745",".317","","95","-0.2","-0.3","","-2.6","1.3","1.1","","292.3","14352"
"Chad Huffman","Tigers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".328",".403",".731",".317","","94","0.0","0.0","","0.0","0.0","0.0","","999.0","5311"
"Brandon Drury","Yankees","72","288","265","70","16","1","9","33","36","18","56","2","2","1","",".264",".313",".430",".743",".317","","95","-0.4","-0.7","","-2.1","0.4","0.8","","362.0","11615"
"Aneury Tavarez","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".273",".320",".422",".742",".317","","92","0.0","0.0","","0.0","0.0","0.0","","999.0","sa598684"
"Kevin Kiermaier","Rays","141","626","562","144","28","5","18","77","65","49","131","6","20","10","",".255",".320",".420",".740",".317","","99","2.4","13.2","","1.3","15.6","3.8","","157.2","11038"
"Daniel Nava","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".262",".341",".379",".720",".316","","94","0.0","0.0","","0.0","0.0","0.0","","661.7","5450"
"Ender Inciarte","Braves","142","644","585","166","27","4","9","77","54","47","82","3","19","8","",".284",".338",".394",".732",".316","","93","1.1","5.8","","-5.0","8.1","2.4","","121.4","4922"
"Denard Span","Rays","82","371","332","88","17","2","8","45","34","30","51","3","9","4","",".264",".328",".403",".731",".316","","98","0.3","-0.4","","-0.5","-7.3","0.5","","452.6","8347"
"D.J. Stewart","Orioles","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".248",".324",".405",".729",".316","","94","0.0","0.0","","0.0","0.0","0.0","","999.0","sa658672"
"Nori Aoki","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".274",".338",".384",".721",".315","","93","0.0","0.0","","0.0","0.0","0.0","","683.6","13075"
"Victor Robles","Nationals","24","95","87","24","5","1","2","10","10","5","19","2","4","2","",".271",".324",".406",".730",".315","","90","-0.2","-0.5","","-1.4","-0.3","0.1","","300.6","18363"
"Derek Fisher","Astros","73","284","251","61","11","1","10","35","35","26","74","2","9","5","",".243",".318",".417",".734",".315","","98","-0.1","0.4","","-0.9","-3.1","0.6","","390.7","16192"
"Jose Pirela","Padres","107","439","402","106","21","3","11","44","50","29","81","3","7","4","",".265",".316",".416",".732",".314","","95","-0.2","-1.0","","-3.2","-3.4","0.8","","378.2","5485"
"Mike Tauchman","Rockies","35","139","125","35","6","1","2","15","14","10","25","1","4","2","",".276",".332",".394",".726",".314","","75","-0.1","-0.4","","-4.6","-2.4","-0.2","","999.0","15274"
"Michael Saunders","Royals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".317",".414",".731",".314","","92","0.0","0.0","","0.0","0.0","0.0","","999.0","9981"
"Zack Granite","Twins","33","134","122","34","5","1","2","15","13","9","16","1","6","3","",".282",".335",".386",".721",".313","","91","-0.2","0.3","","-1.6","0.2","0.3","","638.9","15343"
"Chris Young","Angels","38","148","131","31","7","1","5","17","18","13","33","1","2","1","",".239",".313",".415",".728",".313","","97","-0.1","-1.7","","-0.7","-3.0","0.1","","692.6","3882"
"Jorge Bonifacio","Royals","84","346","312","78","15","2","11","38","40","27","88","3","2","1","",".249",".313",".415",".728",".313","","92","0.1","-0.4","","-3.4","-4.6","0.4","","407.8","12174"
"Hunter Renfroe","Padres","48","199","184","46","9","1","9","22","27","11","52","2","1","1","",".248",".293",".450",".743",".313","","94","0.0","-1.0","","-1.5","-4.7","0.0","","312.5","15464"
"Mark Zagunis","Cubs","5","19","16","4","1","0","0","2","2","2","5","0","0","0","",".230",".332",".377",".709",".312","","89","0.0","0.0","","-0.3","-0.2","0.0","","999.0","16565"
"Jared James","Braves","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".266",".320",".407",".727",".312","","90","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829527"
"Boog Powell","Athletics","32","127","113","30","5","1","2","14","12","11","23","1","3","2","",".267",".335",".379",".714",".312","","95","-0.2","0.0","","-1.0","0.5","0.4","","589.4","15103"
"Ramon Flores","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".253",".334",".379",".713",".312","","84","0.0","0.0","","0.0","0.0","0.0","","999.0","11165"
"Darin Ruf","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".247",".306",".424",".730",".312","","91","0.0","0.0","","0.0","0.0","0.0","","999.0","9929"
"Mark Canha","Athletics","18","73","65","16","4","0","2","8","8","5","19","1","1","0","",".244",".310",".417",".727",".312","","94","0.0","-0.3","","-0.5","-1.5","0.1","","999.0","11445"
"Jose Osuna","Pirates","12","47","43","11","2","0","1","5","6","3","9","0","1","0","",".262",".307",".426",".733",".312","","91","0.0","0.0","","-0.6","-1.0","0.0","","654.5","12937"
"Abraham Almonte","Indians","11","44","40","10","2","0","1","5","5","4","10","0","1","0","",".256",".325",".400",".725",".312","","90","0.0","0.0","","-0.5","-0.5","0.0","","999.0","5486"
"Chris Coghlan","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".239",".327",".392",".719",".312","","91","0.0","0.0","","0.0","0.0","0.0","","999.0","6878"
"Nick Williams","Phillies","108","448","415","104","20","3","17","50","58","24","126","4","5","3","",".252",".298",".438",".736",".312","","89","-0.6","-1.7","","-6.9","-8.8","-0.1","","301.2","14330"
"Austin Slater","Giants","2","6","6","2","0","0","0","1","1","0","1","0","0","0","",".264",".322",".397",".720",".311","","93","0.0","0.0","","-0.1","-0.1","0.0","","676.2","16153"
"Mikie Mahtook","Tigers","93","381","348","90","17","4","10","42","43","23","92","5","5","3","",".257",".310",".417",".727",".311","","90","0.1","2.0","","-4.4","-2.3","0.6","","341.2","13130"
"Rob Refsnyder","Indians","3","13","12","3","1","0","0","1","1","1","2","0","0","0","",".264",".333",".384",".716",".311","","90","0.0","-0.1","","-0.2","0.0","0.0","","999.0","13770"
"Austin Jackson","Giants","95","388","348","91","19","3","6","39","38","32","86","2","5","3","",".262",".327",".387",".713",".310","","92","0.4","-4.9","","-3.6","-4.3","0.5","","552.9","9848"
"Jacoby Ellsbury","Yankees","64","266","236","61","11","2","6","33","27","23","43","2","9","3","",".257",".327",".389",".716",".310","","91","0.8","-1.3","","-2.2","-3.0","0.4","","457.3","4727"
