"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Ronald Torreyes","Yankees","42","158","147","39","7","1","2","17","16","7","20","1","2","1","",".266",".304",".364",".668",".290","","76","0.1","-0.1","","-4.5","1.2","0.2","","514.2","11400"
"Giovanny Urshela","Indians","42","166","154","39","8","0","3","18","18","8","26","1","1","0","",".254",".294",".378",".672",".289","","75","-0.4","-0.2","","-5.5","0.8","0.1","","999.0","10681"
"Matt Davidson","White Sox","124","508","460","97","18","1","22","54","61","37","177","5","2","1","",".212",".275",".398",".673",".288","","77","-1.0","-0.4","","-15.3","-13.2","-1.1","","435.5","7226"
"Will Middlebrooks","Phillies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".269",".410",".679",".288","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","7002"
"Casey McGehee","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".249",".309",".347",".656",".287","","74","0.0","0.0","","0.0","0.0","0.0","","999.0","6086"
"Kaleb Cowart","Angels","23","88","80","19","4","0","2","9","9","7","21","1","2","1","",".238",".299",".361",".660",".287","","79","0.1","-0.1","","-2.3","0.2","0.1","","644.3","11494"
"Ryder Jones","Giants","6","26","23","6","1","0","1","2","3","2","6","0","0","0","",".237",".291",".378",".669",".287","","76","0.0","-0.2","","-0.8","-0.2","0.0","","999.0","15982"
"Brandon Snyder","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".288",".379",".667",".287","","78","0.0","0.0","","0.0","0.0","0.0","","999.0","9856"
"Matt Dominguez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".239",".278",".390",".669",".286","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","4903"
"Matt Reynolds","Nationals","3","13","11","3","1","0","0","1","1","1","3","0","0","0","",".245",".305",".348",".654",".286","","71","0.0","0.0","","-0.5","0.1","0.0","","999.0","13788"
"Danny Worth","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".308",".339",".647",".285","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","198"
"Ryan Flaherty","Phillies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".296",".356",".652",".285","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","7888"
"Cole Figueroa","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".251",".310",".333",".643",".283","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","8790"
"Tyler Saladino","White Sox","51","210","190","45","8","1","4","21","19","15","45","2","6","3","",".238",".297",".350",".647",".283","","74","0.1","0.4","","-6.7","1.4","0.2","","690.3","10807"
