"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Danny Espinosa","Blue Jays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".283",".362",".645",".277","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","9219"
"Jose Guadalupe Chavez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".308",".311",".619",".277","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa288775"
"Vladimir Frias","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".247",".292",".343",".635",".277","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa455557"
"Yairo Munoz","Cardinals","2","6","6","1","0","0","0","1","1","0","1","0","0","0","",".245",".280",".364",".644",".277","","68","0.0","0.0","","-0.3","0.1","0.0","","999.0","sa657210"
"Alcides Escobar","Royals","118","467","438","112","22","3","5","45","41","18","71","4","9","3","",".256",".289",".352",".641",".276","","67","1.2","0.4","","-17.9","6.3","0.5","","524.9","6310"
"Alexei Ramirez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".285",".358",".643",".276","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","5133"
"Fernando Tatis Jr.","Padres","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".283",".353",".636",".275","","69","0.0","0.0","","0.0","0.0","0.0","","589.6","sa919910"
"C.J Hinojosa","Giants","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".296",".333",".629",".275","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","sa658616"
"Jack Reinheimer","Diamondbacks","2","6","6","1","0","0","0","1","1","0","1","0","0","0","",".242",".297",".328",".625",".275","","60","0.0","0.1","","-0.3","0.1","0.0","","999.0","14938"
"Anthony Phillips","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".242",".299",".329",".628",".275","","50","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa392886"
"Kristopher Negron","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".283",".349",".632",".275","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","5306"
"Yu-Cheng Chang","Indians","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".271",".363",".634",".274","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","sa830276"
"Cliff Pennington","Reds","38","149","133","30","5","1","2","13","13","13","40","1","2","1","",".224",".294",".325",".619",".273","","63","-0.2","-0.2","","-7.3","0.1","-0.2","","999.0","3395"
"Dorssys Paulino","Indians","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".289",".333",".622",".273","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","sa659464"
"Eddy Alvarez","White Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".302",".307",".610",".273","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa806877"
"Alexi Amarista","Tigers","24","94","87","21","4","0","1","9","9","6","17","1","2","1","",".239",".288",".342",".630",".273","","64","0.0","-0.6","","-4.2","0.1","-0.1","","740.0","9063"
"Gregorio Petit","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".247",".284",".347",".631",".272","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","3812"
"Alex Mejia","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".288",".337",".625",".272","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","13877"
"A.J. Simcox","Tigers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".282",".347",".628",".272","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","sa658901"
"Rosell Herrera","Reds","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".295",".320",".615",".271","","61","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa547996"
"Mike Freeman","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".298",".319",".617",".271","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","11241"
"Chan Jong Moon","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".294",".318",".612",".271","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","sa550461"
"Richard Urena","Blue Jays","3","13","12","3","1","0","0","1","1","1","3","0","0","0","",".240",".277",".350",".628",".270","","63","0.0","0.0","","-0.6","0.1","0.0","","677.3","16411"
"Bengie Gonzalez","Nationals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".240",".296",".318",".614",".270","","61","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa454764"
"Sergio Alcantara","Tigers","11","46","42","10","2","0","0","4","4","3","7","0","1","1","",".240",".294",".319",".613",".270","","62","-0.1","0.0","","-2.2","0.3","0.0","","999.0","sa739641"
"Calten Daal","Reds","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".288",".328",".616",".270","","61","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa729572"
"Edmundo Sosa","Cardinals","3","13","12","3","1","0","0","1","1","1","2","0","0","0","",".247",".285",".334",".619",".269","","63","0.0","0.0","","-0.6","0.2","0.0","","999.0","sa736859"
"Matt Williams","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".296",".311",".607",".269","","62","0.0","0.0","","0.0","0.0","0.0","","999.0","sa577691"
"Adam Rosales","Phillies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".268",".357",".625",".269","","61","0.0","0.0","","0.0","0.0","0.0","","999.0","9682"
"Cristhian Adames","Marlins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".286",".327",".613",".268","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","6013"
"Luis Guillorme","Mets","5","20","18","4","1","0","0","2","1","2","3","0","0","0","",".237",".302",".296",".599",".268","","65","0.0","0.0","","-0.9","0.1","0.0","","999.0","sa737882"
"Chase d'Arnaud","Giants","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".289",".323",".612",".268","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","6652"
"Zach Vincej","Mariners","10","39","35","8","2","0","0","4","3","2","7","0","1","0","",".236",".289",".319",".608",".267","","66","0.0","-0.1","","-1.7","0.3","0.0","","999.0","13269"
"Donovan Solano","Dodgers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".282",".333",".615",".267","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","8623"
"Oscar Mercado","Cardinals","3","13","12","3","1","0","0","1","1","1","3","0","1","0","",".232",".280",".333",".612",".266","","61","0.0","0.0","","-0.7","0.1","0.0","","999.0","sa737612"
"Michael Russell","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".279",".330",".609",".266","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","sa827159"
"Brandon Trinkwon","Dodgers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".291",".309",".600",".266","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","sa709596"
"David Fletcher","Angels","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".247",".285",".325",".610",".266","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","sa858824"
"Tyler Smith","Braves","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".288",".313",".601",".265","","59","0.0","0.0","","-0.1","0.0","0.0","","999.0","12490"
"Pedro Florimon","Phillies","29","114","102","22","4","1","2","10","10","9","36","1","2","1","",".212",".280",".325",".605",".265","","59","0.0","0.3","","-6.0","1.1","-0.1","","999.0","8385"
"Paul Janish","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".291",".303",".594",".264","","59","0.0","0.0","","-0.1","0.0","0.0","","999.0","7412"
"Richie Martin","Athletics","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".282",".319",".601",".264","","62","0.0","0.0","","0.0","0.0","0.0","","999.0","sa659080"
"Charlie Culberson","Braves","55","221","206","48","10","1","3","19","20","11","49","1","3","2","",".233",".274",".336",".610",".264","","58","0.0","-0.9","","-11.9","-0.7","-0.5","","687.5","3298"
"Eric Stamets","Indians","2","6","6","1","0","0","0","1","1","0","2","0","0","0","",".215",".272",".329",".601",".263","","57","0.0","0.0","","-0.3","0.0","0.0","","999.0","sa621787"
"Abiatal Avelino","Yankees","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".277",".325",".602",".263","","58","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa657893"
"Osvaldo Abreu","Nationals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".281",".318",".599",".263","","56","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa657398"
"Jake Gatewood","Brewers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".264",".346",".610",".263","","55","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa828685"
"Gustavo Nunez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".288",".310",".598",".263","","58","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa446859"
