Name,Points,Value
Ben Gamel,157.0,1.9393508857612232
Chris Iannetta,155.0,1.7546508014030113
James Shields,154.0,1.6623007592239056
Cameron Maybin,154.0,1.6623007592239056
Chad Pinder,154.0,1.6623007592239056
Wade Miley,154.0,1.6623007592239056
Chris Hatcher,154.0,1.6623007592239056
Matt Holliday,152.0,1.4776006748656938
Anthony Swarzak,152.0,1.4776006748656938
Francisco Cervelli,152.0,1.4776006748656938
Brent Suter,152.0,1.4776006748656938
Gerardo Parra,152.0,1.4776006748656938
Josh Tomlin,151.0,1.3852506326865879
Colby Rasmus,151.0,1.3852506326865879
Christian Vazquez,151.0,1.3852506326865879
Carlos Rodon,150.0,1.2929005905074822
Andrew Heaney,149.0,1.2005505483283763
Carlos Gomez,148.0,1.1082005061492703
Jorge Bonifacio,148.0,1.1082005061492703
Juan Nicasio,148.0,1.1082005061492703
Joakim Soria,147.0,1.0158504639701644
Daniel Norris,147.0,1.0158504639701644
Brandon Drury,147.0,1.0158504639701644
Yonny Chirinos,147.0,1.0158504639701644
Trevor Williams,146.0,0.9235004217910587
Adeiny Hechavarria,146.0,0.9235004217910587
Miguel Andujar,145.0,0.8311503796119528
Robinson Chirinos,145.0,0.8311503796119528
Miguel Gonzalez,145.0,0.8311503796119528
Tyler Flowers,145.0,0.8311503796119528
Reynaldo Lopez,145.0,0.8311503796119528
Jacob Barnes,143.0,0.6464502952537411
Jacob Turner,143.0,0.6464502952537411
Jake McGee,143.0,0.6464502952537411
Walker Buehler,142.0,0.5541002530746352
Chad Bettis,142.0,0.5541002530746352
Yunel Escobar,142.0,0.5541002530746352
Matt Wieters,141.0,0.46175021089552937
Kyle Freeland,141.0,0.46175021089552937
Jose Leclerc,140.0,0.36940016871642345
Jacoby Ellsbury,140.0,0.36940016871642345
Steven Wright,140.0,0.36940016871642345
Carson Smith,139.0,0.2770501265373176
Nick Ahmed,138.0,0.18470008435821172
Yasmani Grandal,137.0,0.09235004217910586
Hector Rondon,136.0,0.0
Adrian Gonzalez,136.0,0.0
Tommy Kahnle,135.0,-0.09235004217910586
Darren O'Day,135.0,-0.09235004217910586
Tyson Ross,134.0,-0.18470008435821172
Matt Bush,134.0,-0.18470008435821172
Jason Castro,134.0,-0.18470008435821172
Pedro Strop,132.0,-0.36940016871642345
Tyler Lyons,132.0,-0.36940016871642345
Jose Reyes,132.0,-0.36940016871642345
A.J. Minter,132.0,-0.36940016871642345
Tyler Glasnow,131.0,-0.46175021089552937
Derek Fisher,130.0,-0.5541002530746352
Greg Holland,130.0,-0.5541002530746352
Josh Hader,130.0,-0.5541002530746352
Scott Alexander,129.0,-0.6464502952537411
Michael Feliz,129.0,-0.6464502952537411
Adam Engel,129.0,-0.6464502952537411
